ind,lat,lon
0,37.41859,-5.97325
1,37.35816,-5.98648
2,37.38951,-5.98436
3,37.4086,-5.97316
4,37.38152,-5.989
5,37.38354,-5.99991
6,37.36362,-5.98479
7,37.3861,-5.91009
8,37.3871,-5.97484
9,37.41147,-5.96676
10,37.40286,-5.92175
11,37.38432,-5.98248
12,37.40693,-5.98262
13,37.37153,-6.0028
14,37.39759,-5.98387
15,37.34532,-5.98266
16,37.40249,-5.97768
17,37.38566,-5.91345
18,37.40561,-5.93052
19,37.37574,-5.99926
20,37.40286,-6.00411
21,37.3774,-5.99197
22,37.40146,-5.98369
23,37.41891,-5.96322
24,37.38963,-6.00758
25,37.42476,-5.98482
26,37.38897,-5.99529
27,37.37232,-5.96317
28,37.4005,-5.9984
29,37.40499,-5.93581
30,37.40547,-5.98153
31,37.39484,-5.96843
32,37.40404,-5.98459
33,37.39208,-6.01105
34,37.39609,-5.95876
35,37.42163,-5.9715
36,37.40387,-5.9949
37,37.38882,-5.99586
38,37.39396,-5.9969
39,37.35066,-5.98419
40,37.37506,-5.96749
41,37.3765,-5.97267
42,37.40296,-5.95821
43,37.39363,-5.98187
44,37.39281,-5.99934
45,37.3462,-5.9762
46,37.39958,-5.99103
47,37.37741,-5.9749
48,37.39429,-5.99165
49,37.3986,-5.97363
50,37.37979,-5.99711
51,37.37836,-5.9794
52,37.37807,-6.01194
53,37.38112,-5.98695
54,37.40416,-6.0073
55,37.37614,-5.95502
56,37.35502,-5.98237
57,37.38274,-5.98372
58,37.36956,-5.96864
59,37.40647,-5.98912
60,37.36615,-5.97487
61,37.37124,-5.98921
62,37.40394,-5.93974
63,37.37335,-5.96493
64,37.38716,-5.97102
65,37.39994,-5.92516
66,37.32033,-5.9692
67,37.38986,-5.99113
68,37.38833,-5.9869
69,37.41174,-5.92986
70,37.39075,-5.91964
71,37.3812,-5.99353
72,37.38709,-5.94832
73,37.39701,-5.92376
74,37.37781,-6.00261
75,37.38718,-6.00138
76,37.41585,-6.00547
77,37.3837,-5.91482
78,37.37165,-5.99775
79,37.37796,-5.95197
80,37.36874,-5.95729
81,37.37823,-5.97936
82,37.39552,-6.00232
83,37.38435,-5.96538
84,37.37173,-5.9819
85,37.38882,-5.99575
86,37.39916,-5.98274
87,37.40933,-5.92325
88,37.40665,-5.99311
89,37.38512,-6.00354
90,37.40388,-5.97209
91,37.41292,-5.98891
92,37.42457,-5.96999
93,37.39387,-5.96237
94,37.39106,-6.00315
95,37.36297,-5.98626
96,37.39994,-5.95629
97,37.37237,-5.97736
98,37.39666,-5.98988
99,37.42179,-5.98318
100,37.38763,-5.98103
101,37.36859,-6.0037
102,37.40715,-5.97884
103,37.39687,-5.99393
104,37.38691,-6.00767
105,37.37972,-5.9838
106,37.40852,-5.97049
107,37.37404,-6.0042
108,37.37773,-6.00706
109,37.3954,-5.96404
110,37.38761,-5.96079
111,37.39982,-5.96192
112,37.39783,-5.97567
113,37.36732,-5.95412
114,37.42188,-5.98566
115,37.3838,-5.97745
116,37.40513,-5.97483
117,37.40417,-5.93459
