UTemporal,estacion0,estacion1,estacion2,estacion3,estacion4,estacion5,estacion6,estacion7,estacion8,estacion9,estacion10,estacion11,estacion12,estacion13,estacion14,estacion15,estacion16,estacion17,estacion18,estacion19,estacion20,estacion21,estacion22,estacion23,estacion24,estacion25,estacion26,estacion27,estacion28,estacion29,estacion30,estacion31,estacion32,estacion33,estacion34,estacion35,estacion36,estacion37,estacion38,estacion39,estacion40,estacion41,estacion42,estacion43,estacion44,estacion45,estacion46,estacion47,estacion48,estacion49,estacion50,estacion51,estacion52,estacion53,estacion54,estacion55,estacion56,estacion57,estacion58,estacion59,estacion60,estacion61,estacion62,estacion63,estacion64,estacion65,estacion66,estacion67,estacion68,estacion69,estacion70,estacion71,estacion72,estacion73,estacion74,estacion75,estacion76,estacion77,estacion78,estacion79,estacion80,estacion81,estacion82,estacion83,estacion84,estacion85,estacion86,estacion87,estacion88,estacion89,estacion90,estacion91,estacion92,estacion93,estacion94,estacion95,estacion96,estacion97,estacion98,estacion99,estacion100,estacion101,estacion102,estacion103,estacion104,estacion105,estacion106,estacion107,estacion108,estacion109,estacion110,estacion111,estacion112,estacion113,estacion114,estacion115,estacion116,estacion117,estacion118,estacion119,estacion120,estacion121,estacion122,estacion123,estacion124,estacion125,estacion126,estacion127,estacion128,estacion129,estacion130,estacion131,estacion132,estacion133,estacion134,estacion135,estacion136,estacion137,estacion138,estacion139,estacion140,estacion141,estacion142,estacion143,estacion144,estacion145,estacion146,estacion147,estacion148,estacion149,estacion150,estacion151,estacion152,estacion153,estacion154,estacion155,estacion156,estacion157,estacion158,estacion159,estacion160,estacion161,estacion162,estacion163,estacion164,estacion165,estacion166,estacion167,estacion168,estacion169,estacion170,estacion171,estacion172,estacion173,estacion174,estacion175,estacion176,estacion177,estacion178,estacion179,estacion180,estacion181,estacion182,estacion183,estacion184,estacion185,estacion186,estacion187,estacion188,estacion189,estacion190,estacion191,estacion192,estacion193,estacion194,estacion195,estacion196,estacion197,estacion198,estacion199,estacion200,estacion201,estacion202,estacion203,estacion204,estacion205,estacion206,estacion207,estacion208,estacion209,estacion210,estacion211,estacion212,estacion213,estacion214,estacion215,estacion216,estacion217,estacion218,estacion219,estacion220,estacion221,estacion222,estacion223,estacion224,estacion225,estacion226,estacion227,estacion228,estacion229,estacion230,estacion231,estacion232,estacion233,estacion234,estacion235,estacion236,estacion237,estacion238,estacion239,estacion240,estacion241,estacion242,estacion243,estacion244,estacion245,estacion246,estacion247,estacion248,estacion249,estacion250,estacion251,estacion252,estacion253,estacion254,estacion255,estacion256,estacion257,estacion258,estacion259
0,35,31,46,34,56,29,42,8,25,39,9,31,48,26,35,28,38,7,10,20,18,27,26,22,38,21,85,6,22,26,24,23,21,45,21,12,48,30,34,20,39,25,33,47,21,29,21,36,36,52,48,29,51,48,23,25,12,54,28,59,39,46,4,31,58,12,14,37,15,9,3,26,16,6,37,40,7,9,36,24,14,51,28,35,37,28,39,5,29,41,33,44,28,20,88,25,5,34,25,23,51,6,53,48,46,49,33,35,49,27,48,8,34,19,25,38,38,14,25,2,48,10,27,4,21,28,24,25,36,42,31,43,56,38,21,24,29,39,15,17,49,55,7,18,19,51,36,23,32,14,10,54,26,11,17,49,14,27,35,40,32,38,3,48,20,39,38,29,50,25,16,33,11,8,31,23,42,26,26,21,35,41,30,37,13,26,18,49,43,36,45,21,7,35,36,4,35,25,44,41,20,11,42,13,21,25,18,14,21,36,34,27,20,28,30,10,29,3,34,30,21,42,32,28,43,30,36,19,33,9,27,47,11,33,19,54,44,35,7,43,32,36,25,42,49,33,31,13,32,37,48,32,28,18,14,45,25,26,41,5
1,34,14,57,42,65,34,34,4,34,29,7,28,42,12,39,9,32,4,6,19,23,30,36,18,32,14,79,59,47,7,34,39,33,37,16,14,51,28,51,25,56,50,33,58,40,25,24,47,44,32,77,60,31,25,38,25,19,60,47,61,23,28,4,48,60,8,4,36,31,0,1,31,17,7,48,56,19,1,25,20,21,52,54,45,42,19,28,9,19,50,24,46,26,16,70,41,20,51,28,22,37,14,64,67,50,55,45,25,37,31,18,9,50,16,16,43,41,3,32,4,49,9,45,0,20,44,27,40,19,55,57,53,45,24,10,28,17,59,33,2,53,51,19,28,20,47,43,11,34,5,16,48,36,25,18,42,14,25,39,40,42,48,58,63,26,44,54,35,32,18,40,41,37,0,20,45,40,28,47,28,35,34,20,34,20,15,55,37,55,66,28,13,8,51,63,10,23,29,40,35,13,21,53,3,32,38,17,46,26,22,34,22,3,51,22,2,31,11,41,61,22,32,43,48,33,53,56,26,27,23,36,61,4,45,9,42,70,33,18,42,36,56,37,18,36,47,41,27,28,54,44,51,45,31,23,47,18,32,45,5
2,39,22,74,28,82,26,60,0,47,31,11,34,49,13,34,20,27,4,9,30,27,27,26,9,41,13,71,45,32,2,40,39,33,39,9,11,43,38,37,32,57,57,38,70,30,28,42,48,55,38,57,64,32,36,31,19,13,61,51,53,40,33,4,44,73,11,2,47,24,0,4,26,24,10,65,54,15,1,26,13,14,65,58,36,51,24,51,3,17,52,36,47,23,11,98,59,11,41,31,9,40,8,71,66,48,65,34,16,41,24,15,11,49,19,20,55,43,6,26,12,60,13,37,0,21,51,28,44,30,42,53,53,54,27,10,27,8,66,39,2,42,60,22,23,22,49,37,8,35,2,20,49,48,26,21,52,13,27,51,46,43,61,38,63,32,51,70,30,36,21,43,40,35,5,32,44,38,25,55,25,26,0,28,42,17,24,41,51,58,59,42,4,8,46,54,2,28,26,49,25,24,16,68,0,21,33,36,41,24,26,33,23,1,47,21,4,38,7,46,65,22,33,40,45,29,38,62,7,42,20,27,57,3,42,12,57,56,47,15,18,42,47,37,30,52,37,43,24,32,48,47,57,39,22,23,47,16,21,46,9
3,33,35,70,36,49,22,57,0,51,53,5,38,42,20,39,19,45,2,4,20,19,40,25,20,42,18,63,51,39,0,27,29,38,41,14,12,34,37,37,24,72,55,37,73,28,31,34,44,48,48,74,53,29,41,38,27,8,66,51,66,30,38,3,33,50,3,4,56,26,0,6,23,14,8,44,53,22,0,40,14,9,69,60,44,55,18,50,3,12,51,34,39,32,17,66,52,18,49,29,27,38,9,68,68,37,56,7,22,45,41,24,9,45,19,18,45,44,0,19,10,50,15,64,0,26,51,38,38,32,32,40,52,44,31,28,32,14,41,20,2,45,71,29,15,22,48,33,5,35,3,23,64,37,20,18,39,15,26,42,44,44,40,59,80,26,40,24,41,45,30,31,51,33,3,43,36,29,30,58,39,26,31,32,38,19,22,46,36,53,34,22,5,9,50,57,0,19,18,54,28,25,15,46,2,25,49,34,28,10,36,24,21,2,45,20,3,30,10,42,56,17,41,46,58,38,38,52,36,41,19,28,57,2,45,5,49,64,42,14,19,45,58,38,20,44,30,40,28,30,63,61,42,24,27,26,55,21,37,43,5
4,15,23,45,23,36,12,24,2,31,14,0,16,29,3,22,7,15,1,10,11,6,14,19,10,24,10,39,26,20,9,31,18,23,3,15,9,32,19,33,15,45,29,22,31,14,22,30,22,19,32,48,47,20,21,21,13,9,30,31,44,20,36,2,22,35,11,0,30,11,0,0,16,6,2,42,43,13,0,21,9,12,35,24,33,28,16,29,1,11,32,20,22,9,7,55,17,7,27,10,2,24,5,50,44,17,37,14,15,27,11,16,6,16,19,3,29,22,7,7,1,28,5,21,0,8,20,21,20,20,19,31,26,31,8,11,19,7,35,7,4,43,47,2,10,14,42,18,4,18,2,3,29,25,11,13,26,5,16,22,13,19,51,27,49,14,23,35,27,17,10,15,27,12,0,7,16,26,11,24,15,24,23,10,27,7,16,25,39,41,19,19,3,10,22,26,2,13,12,20,13,20,9,42,1,8,25,16,14,19,12,12,23,0,31,13,0,19,2,32,33,19,22,21,33,17,25,40,7,22,15,23,30,1,28,7,26,57,28,4,32,27,22,26,14,15,20,34,21,3,28,36,33,25,7,12,22,10,17,30,1
5,16,5,45,14,45,11,13,0,19,6,0,21,31,3,18,7,19,2,0,10,10,15,18,14,21,8,35,21,21,1,20,20,12,12,6,15,53,11,21,18,20,34,13,37,23,9,18,31,11,22,45,32,22,31,12,11,8,32,27,35,15,23,3,25,48,0,1,36,15,1,1,29,13,2,39,53,5,0,20,9,8,33,39,20,43,9,30,2,10,42,19,37,14,10,49,16,8,24,11,12,23,4,46,51,16,36,23,12,22,7,18,6,31,14,5,29,33,1,14,1,25,1,32,0,11,8,18,0,20,37,26,35,40,18,13,15,10,32,2,0,31,37,6,11,27,47,22,6,18,2,14,31,19,5,11,28,8,31,26,23,33,22,16,47,16,24,30,23,21,10,18,14,11,0,29,33,33,17,41,18,14,24,15,39,7,15,24,24,35,31,33,11,2,26,24,1,14,12,34,11,22,2,44,0,4,36,26,5,5,17,23,13,0,21,18,0,19,3,18,18,20,20,27,16,27,41,38,10,31,8,27,37,4,29,1,36,57,26,4,9,24,38,14,11,24,11,24,19,0,20,19,33,22,3,15,25,20,8,23,12
6,20,13,57,14,42,13,24,2,27,6,3,15,25,3,28,6,19,0,2,9,15,0,15,4,27,4,29,15,36,3,13,22,22,9,4,14,40,6,19,8,28,26,8,29,14,10,16,33,19,24,36,29,25,14,11,6,7,34,13,23,12,33,1,11,27,2,0,30,8,0,2,23,11,0,49,39,4,0,17,3,11,25,36,31,30,6,30,2,11,23,25,24,14,0,48,21,11,31,23,12,32,2,36,47,21,32,18,19,16,8,18,8,23,5,9,19,29,2,17,1,30,7,21,0,14,9,17,10,14,12,23,42,33,10,9,20,4,18,12,0,37,41,4,6,17,30,12,5,16,3,5,17,28,9,12,30,11,25,19,17,25,28,17,49,13,23,24,14,20,3,17,16,10,0,19,37,27,19,29,17,11,16,14,14,16,4,22,31,29,31,31,5,1,19,32,1,11,15,33,7,17,5,31,0,8,13,18,12,22,15,19,10,1,23,18,1,21,5,34,22,11,15,24,21,27,16,29,16,23,16,17,34,3,27,3,30,43,22,2,0,34,20,17,11,15,14,26,12,4,18,36,21,18,6,10,20,16,17,27,8
7,31,21,52,34,60,28,44,0,28,10,7,21,37,16,31,7,24,2,4,29,19,19,28,9,19,10,74,42,49,21,41,32,31,29,10,24,51,26,46,20,62,49,32,58,22,14,21,51,34,33,60,57,30,37,28,20,27,53,54,46,34,35,6,48,69,8,1,39,21,0,3,38,15,5,74,56,22,2,38,17,21,50,50,38,58,17,49,1,17,34,31,42,29,24,68,49,11,40,31,21,57,13,54,52,38,46,36,28,34,19,35,19,45,14,15,46,36,3,30,11,23,15,32,0,17,47,31,34,26,33,49,56,58,19,16,32,22,43,22,4,45,56,19,24,41,35,40,3,40,2,21,52,33,14,20,39,14,22,32,28,33,45,51,104,17,28,58,27,42,17,20,28,47,18,21,47,45,33,56,28,30,20,33,34,16,22,43,39,53,50,31,5,5,34,60,2,32,17,34,20,40,18,57,2,15,44,25,27,19,26,43,17,1,51,41,2,34,3,45,67,32,35,40,39,35,44,63,17,34,34,31,55,3,43,3,51,62,48,13,19,42,29,24,26,34,32,33,18,31,29,43,44,29,3,24,42,17,24,29,6
8,35,32,63,32,49,32,54,0,28,25,11,25,50,19,37,10,43,5,13,19,26,24,30,13,42,12,86,66,40,7,29,21,37,59,14,14,47,29,53,26,59,63,22,54,23,17,31,44,42,45,66,50,30,53,38,36,14,50,44,65,18,50,1,47,68,8,2,52,26,2,0,35,15,7,63,62,21,1,33,12,8,57,55,42,50,17,47,3,16,59,33,43,23,16,65,50,12,45,30,15,48,14,53,52,36,50,41,29,40,53,42,17,47,23,8,54,43,12,15,15,39,29,41,0,22,47,38,27,25,30,71,67,55,18,12,35,19,58,30,4,40,62,26,14,25,48,36,10,35,10,29,61,39,22,16,45,18,37,52,42,27,53,70,96,18,40,58,41,32,20,25,46,27,4,19,35,48,20,44,29,31,34,41,33,22,26,48,40,56,52,27,4,8,34,51,7,32,24,52,24,31,20,50,4,13,34,31,34,20,41,24,26,0,39,25,4,25,4,35,77,26,27,51,56,24,36,59,37,30,42,33,44,20,38,3,42,71,34,11,30,47,37,37,44,40,35,42,31,26,33,61,54,40,24,28,43,14,26,45,4
9,40,21,58,36,56,20,55,2,39,19,4,25,51,20,47,7,41,2,5,39,19,26,36,9,49,12,59,49,44,4,36,35,35,36,13,24,50,41,46,25,61,59,31,52,31,29,28,37,37,39,69,60,32,38,26,24,20,56,46,80,28,45,14,30,55,5,1,50,26,2,9,29,16,7,67,74,15,0,31,16,3,46,49,58,53,22,57,6,17,51,32,60,24,27,90,39,13,41,28,13,58,11,57,59,37,49,37,20,35,21,39,22,38,26,15,61,49,1,17,8,50,28,50,1,21,57,26,56,23,35,48,55,59,14,12,40,17,47,36,6,47,58,17,20,53,51,38,7,37,14,17,62,49,21,29,59,18,26,37,38,27,59,58,67,26,42,58,32,30,18,38,37,37,9,23,53,42,29,48,23,19,26,32,47,23,29,54,38,57,49,34,8,9,35,75,1,41,25,66,26,33,19,43,0,22,35,32,52,22,31,23,27,0,59,22,2,41,9,50,67,22,26,41,62,29,52,59,33,57,34,48,59,9,37,7,52,74,44,10,29,37,51,37,23,38,44,39,46,32,52,57,60,40,21,39,45,20,25,52,15
