UTemporal,estacion0,estacion1,estacion2,estacion3,estacion4,estacion5,estacion6,estacion7,estacion8,estacion9,estacion10,estacion11,estacion12,estacion13,estacion14,estacion15,estacion16,estacion17,estacion18,estacion19,estacion20,estacion21,estacion22,estacion23,estacion24,estacion25,estacion26,estacion27,estacion28,estacion29,estacion30,estacion31,estacion32,estacion33,estacion34,estacion35,estacion36,estacion37,estacion38,estacion39,estacion40,estacion41,estacion42,estacion43,estacion44,estacion45,estacion46,estacion47,estacion48,estacion49,estacion50,estacion51,estacion52,estacion53,estacion54,estacion55,estacion56,estacion57,estacion58,estacion59,estacion60,estacion61,estacion62,estacion63,estacion64,estacion65,estacion66,estacion67,estacion68,estacion69,estacion70,estacion71,estacion72,estacion73,estacion74,estacion75,estacion76,estacion77,estacion78,estacion79,estacion80,estacion81,estacion82,estacion83,estacion84,estacion85,estacion86,estacion87,estacion88,estacion89,estacion90,estacion91,estacion92,estacion93,estacion94,estacion95,estacion96,estacion97,estacion98,estacion99,estacion100,estacion101,estacion102,estacion103,estacion104,estacion105,estacion106,estacion107,estacion108,estacion109,estacion110,estacion111,estacion112,estacion113,estacion114,estacion115,estacion116,estacion117,estacion118,estacion119,estacion120,estacion121,estacion122,estacion123,estacion124,estacion125,estacion126,estacion127,estacion128,estacion129,estacion130,estacion131,estacion132,estacion133,estacion134,estacion135,estacion136,estacion137,estacion138,estacion139,estacion140,estacion141,estacion142,estacion143,estacion144,estacion145,estacion146,estacion147,estacion148,estacion149,estacion150,estacion151,estacion152,estacion153,estacion154,estacion155,estacion156,estacion157,estacion158,estacion159,estacion160,estacion161,estacion162,estacion163,estacion164,estacion165,estacion166,estacion167,estacion168,estacion169,estacion170,estacion171,estacion172,estacion173,estacion174,estacion175,estacion176,estacion177,estacion178,estacion179,estacion180,estacion181,estacion182,estacion183,estacion184,estacion185,estacion186,estacion187,estacion188,estacion189,estacion190,estacion191,estacion192,estacion193,estacion194,estacion195,estacion196,estacion197,estacion198,estacion199,estacion200,estacion201,estacion202,estacion203,estacion204,estacion205,estacion206,estacion207,estacion208,estacion209,estacion210,estacion211,estacion212,estacion213,estacion214,estacion215,estacion216,estacion217,estacion218,estacion219,estacion220,estacion221,estacion222,estacion223,estacion224,estacion225,estacion226,estacion227,estacion228,estacion229,estacion230,estacion231,estacion232,estacion233,estacion234,estacion235,estacion236,estacion237,estacion238,estacion239,estacion240,estacion241,estacion242,estacion243,estacion244,estacion245,estacion246,estacion247,estacion248,estacion249,estacion250,estacion251,estacion252,estacion253,estacion254,estacion255,estacion256,estacion257,estacion258,estacion259
0,35.0,31.0,46.0,34.0,56.0,29.0,42.0,8.0,25.0,39.0,9.0,31.0,48.0,26.0,35.0,28.0,38.0,7.0,10.0,20.0,18.0,27.0,26.0,22.0,38.0,21.0,85.0,6.0,22.0,26.0,24.0,23.0,21.0,45.0,21.0,12.0,48.0,30.0,34.0,20.0,39.0,25.0,33.0,47.0,21.0,29.0,21.0,36.0,36.0,52.0,48.0,29.0,51.0,48.0,23.0,25.0,12.0,54.0,28.0,59.0,39.0,46.0,4.0,31.0,58.0,12.0,14.0,37.0,15.0,9.0,3.0,26.0,16.0,6.0,37.0,40.0,7.0,9.0,36.0,24.0,14.0,51.0,28.0,35.0,37.0,28.0,39.0,5.0,29.0,41.0,33.0,44.0,28.0,20.0,88.0,25.0,5.0,34.0,25.0,23.0,51.0,6.0,53.0,48.0,46.0,49.0,33.0,35.0,49.0,27.0,48.0,8.0,34.0,19.0,25.0,38.0,38.0,14.0,25.0,2.0,48.0,10.0,27.0,4.0,21.0,28.0,24.0,25.0,36.0,42.0,31.0,43.0,56.0,38.0,21.0,24.0,29.0,39.0,15.0,17.0,49.0,55.0,7.0,18.0,19.0,51.0,36.0,23.0,32.0,14.0,10.0,54.0,26.0,11.0,17.0,49.0,14.0,27.0,35.0,40.0,32.0,38.0,3.0,48.0,20.0,39.0,38.0,29.0,50.0,25.0,16.0,33.0,11.0,8.0,31.0,23.0,42.0,26.0,26.0,21.0,35.0,41.0,30.0,37.0,13.0,26.0,18.0,49.0,43.0,36.0,45.0,21.0,7.0,35.0,36.0,4.0,35.0,25.0,44.0,41.0,20.0,11.0,42.0,13.0,21.0,25.0,18.0,14.0,21.0,36.0,34.0,27.0,20.0,28.0,30.0,10.0,29.0,3.0,34.0,30.0,21.0,42.0,32.0,28.0,43.0,30.0,36.0,19.0,33.0,9.0,27.0,47.0,11.0,33.0,19.0,54.0,44.0,35.0,7.0,43.0,32.0,36.0,25.0,42.0,49.0,33.0,31.0,13.0,32.0,37.0,48.0,32.0,28.0,18.0,14.0,45.0,25.0,26.0,41.0,5.0
1,34.0,14.0,57.0,42.0,65.0,34.0,34.0,4.0,34.0,29.0,7.0,28.0,42.0,12.0,39.0,9.0,32.0,4.0,6.0,19.0,23.0,30.0,36.0,18.0,32.0,14.0,79.0,59.0,47.0,7.0,34.0,39.0,33.0,37.0,16.0,14.0,51.0,28.0,51.0,25.0,56.0,50.0,33.0,58.0,40.0,25.0,24.0,47.0,44.0,32.0,77.0,60.0,31.0,25.0,38.0,25.0,19.0,60.0,47.0,61.0,23.0,28.0,4.0,48.0,60.0,8.0,4.0,36.0,31.0,0.0,1.0,31.0,17.0,7.0,48.0,56.0,19.0,1.0,25.0,20.0,21.0,52.0,54.0,45.0,42.0,19.0,28.0,9.0,19.0,50.0,24.0,46.0,26.0,16.0,70.0,41.0,20.0,51.0,28.0,22.0,37.0,14.0,64.0,67.0,50.0,55.0,45.0,25.0,37.0,31.0,18.0,9.0,50.0,16.0,16.0,43.0,41.0,3.0,32.0,4.0,49.0,9.0,45.0,0.0,20.0,44.0,27.0,40.0,19.0,55.0,57.0,53.0,45.0,24.0,10.0,28.0,17.0,59.0,33.0,2.0,53.0,51.0,19.0,28.0,20.0,47.0,43.0,11.0,34.0,5.0,16.0,48.0,36.0,25.0,18.0,42.0,14.0,25.0,39.0,40.0,42.0,48.0,58.0,63.0,26.0,44.0,54.0,35.0,32.0,18.0,40.0,41.0,37.0,0.0,20.0,45.0,40.0,28.0,47.0,28.0,35.0,34.0,20.0,34.0,20.0,15.0,55.0,37.0,55.0,66.0,28.0,13.0,8.0,51.0,63.0,10.0,23.0,29.0,40.0,35.0,13.0,21.0,53.0,3.0,32.0,38.0,17.0,46.0,26.0,22.0,34.0,22.0,3.0,51.0,22.0,2.0,31.0,11.0,41.0,61.0,22.0,32.0,43.0,48.0,33.0,53.0,56.0,26.0,27.0,23.0,36.0,61.0,4.0,45.0,9.0,42.0,70.0,33.0,18.0,42.0,36.0,56.0,37.0,18.0,36.0,47.0,41.0,27.0,28.0,54.0,44.0,51.0,45.0,31.0,23.0,47.0,18.0,32.0,45.0,5.0
2,39.0,22.0,74.0,28.0,82.0,26.0,60.0,0.0,47.0,31.0,11.0,34.0,49.0,13.0,34.0,20.0,27.0,4.0,9.0,30.0,27.0,27.0,26.0,9.0,41.0,13.0,71.0,45.0,32.0,2.0,40.0,39.0,33.0,39.0,9.0,11.0,43.0,38.0,37.0,32.0,57.0,57.0,38.0,70.0,30.0,28.0,42.0,48.0,55.0,38.0,57.0,64.0,32.0,36.0,31.0,19.0,13.0,61.0,51.0,53.0,40.0,33.0,4.0,44.0,73.0,11.0,2.0,47.0,24.0,0.0,4.0,26.0,24.0,10.0,65.0,54.0,15.0,1.0,26.0,13.0,14.0,65.0,58.0,36.0,51.0,24.0,51.0,3.0,17.0,52.0,36.0,47.0,23.0,11.0,98.0,59.0,11.0,41.0,31.0,9.0,40.0,8.0,71.0,66.0,48.0,65.0,34.0,16.0,41.0,24.0,15.0,11.0,49.0,19.0,20.0,55.0,43.0,6.0,26.0,12.0,60.0,13.0,37.0,0.0,21.0,51.0,28.0,44.0,30.0,42.0,53.0,53.0,54.0,27.0,10.0,27.0,8.0,66.0,39.0,2.0,42.0,60.0,22.0,23.0,22.0,49.0,37.0,8.0,35.0,2.0,20.0,49.0,48.0,26.0,21.0,52.0,13.0,27.0,51.0,46.0,43.0,61.0,38.0,63.0,32.0,51.0,70.0,30.0,36.0,21.0,43.0,40.0,35.0,5.0,32.0,44.0,38.0,25.0,55.0,25.0,26.0,0.0,28.0,42.0,17.0,24.0,41.0,51.0,58.0,59.0,42.0,4.0,8.0,46.0,54.0,2.0,28.0,26.0,49.0,25.0,24.0,16.0,68.0,0.0,21.0,33.0,36.0,41.0,24.0,26.0,33.0,23.0,1.0,47.0,21.0,4.0,38.0,7.0,46.0,65.0,22.0,33.0,40.0,45.0,29.0,38.0,62.0,7.0,42.0,20.0,27.0,57.0,3.0,42.0,12.0,57.0,56.0,47.0,15.0,18.0,42.0,47.0,37.0,30.0,52.0,37.0,43.0,24.0,32.0,48.0,47.0,57.0,39.0,22.0,23.0,47.0,16.0,21.0,46.0,9.0
3,33.0,35.0,70.0,36.0,49.0,22.0,57.0,0.0,51.0,53.0,5.0,38.0,42.0,20.0,39.0,19.0,45.0,2.0,4.0,20.0,19.0,40.0,25.0,20.0,42.0,18.0,63.0,51.0,39.0,0.0,27.0,29.0,38.0,41.0,14.0,12.0,34.0,37.0,37.0,24.0,72.0,55.0,37.0,73.0,28.0,31.0,34.0,44.0,48.0,48.0,74.0,53.0,29.0,41.0,38.0,27.0,8.0,66.0,51.0,66.0,30.0,38.0,3.0,33.0,50.0,3.0,4.0,56.0,26.0,0.0,6.0,23.0,14.0,8.0,44.0,53.0,22.0,0.0,40.0,14.0,9.0,69.0,60.0,44.0,55.0,18.0,50.0,3.0,12.0,51.0,34.0,39.0,32.0,17.0,66.0,52.0,18.0,49.0,29.0,27.0,38.0,9.0,68.0,68.0,37.0,56.0,7.0,22.0,45.0,41.0,24.0,9.0,45.0,19.0,18.0,45.0,44.0,0.0,19.0,10.0,50.0,15.0,64.0,0.0,26.0,51.0,38.0,38.0,32.0,32.0,40.0,52.0,44.0,31.0,28.0,32.0,14.0,41.0,20.0,2.0,45.0,71.0,29.0,15.0,22.0,48.0,33.0,5.0,35.0,3.0,23.0,64.0,37.0,20.0,18.0,39.0,15.0,26.0,42.0,44.0,44.0,40.0,59.0,80.0,26.0,40.0,24.0,41.0,45.0,30.0,31.0,51.0,33.0,3.0,43.0,36.0,29.0,30.0,58.0,39.0,26.0,31.0,32.0,38.0,19.0,22.0,46.0,36.0,53.0,34.0,22.0,5.0,9.0,50.0,57.0,0.0,19.0,18.0,54.0,28.0,25.0,15.0,46.0,2.0,25.0,49.0,34.0,28.0,10.0,36.0,24.0,21.0,2.0,45.0,20.0,3.0,30.0,10.0,42.0,56.0,17.0,41.0,46.0,58.0,38.0,38.0,52.0,36.0,41.0,19.0,28.0,57.0,2.0,45.0,5.0,49.0,64.0,42.0,14.0,19.0,45.0,58.0,38.0,20.0,44.0,30.0,40.0,28.0,30.0,63.0,61.0,42.0,24.0,27.0,26.0,55.0,21.0,37.0,43.0,5.0
4,15.0,23.0,45.0,23.0,36.0,12.0,24.0,2.0,31.0,14.0,0.0,16.0,29.0,3.0,22.0,7.0,15.0,1.0,10.0,11.0,6.0,14.0,19.0,10.0,24.0,10.0,39.0,26.0,20.0,9.0,31.0,18.0,23.0,3.0,15.0,9.0,32.0,19.0,33.0,15.0,45.0,29.0,22.0,31.0,14.0,22.0,30.0,22.0,19.0,32.0,48.0,47.0,20.0,21.0,21.0,13.0,9.0,30.0,31.0,44.0,20.0,36.0,2.0,22.0,35.0,11.0,0.0,30.0,11.0,0.0,0.0,16.0,6.0,2.0,42.0,43.0,13.0,0.0,21.0,9.0,12.0,35.0,24.0,33.0,28.0,16.0,29.0,1.0,11.0,32.0,20.0,22.0,9.0,7.0,55.0,17.0,7.0,27.0,10.0,2.0,24.0,5.0,50.0,44.0,17.0,37.0,14.0,15.0,27.0,11.0,16.0,6.0,16.0,19.0,3.0,29.0,22.0,7.0,7.0,1.0,28.0,5.0,21.0,0.0,8.0,20.0,21.0,20.0,20.0,19.0,31.0,26.0,31.0,8.0,11.0,19.0,7.0,35.0,7.0,4.0,43.0,47.0,2.0,10.0,14.0,42.0,18.0,4.0,18.0,2.0,3.0,29.0,25.0,11.0,13.0,26.0,5.0,16.0,22.0,13.0,19.0,51.0,27.0,49.0,14.0,23.0,35.0,27.0,17.0,10.0,15.0,27.0,12.0,0.0,7.0,16.0,26.0,11.0,24.0,15.0,24.0,23.0,10.0,27.0,7.0,16.0,25.0,39.0,41.0,19.0,19.0,3.0,10.0,22.0,26.0,2.0,13.0,12.0,20.0,13.0,20.0,9.0,42.0,1.0,8.0,25.0,16.0,14.0,19.0,12.0,12.0,23.0,0.0,31.0,13.0,0.0,19.0,2.0,32.0,33.0,19.0,22.0,21.0,33.0,17.0,25.0,40.0,7.0,22.0,15.0,23.0,30.0,1.0,28.0,7.0,26.0,57.0,28.0,4.0,32.0,27.0,22.0,26.0,14.0,15.0,20.0,34.0,21.0,3.0,28.0,36.0,33.0,25.0,7.0,12.0,22.0,10.0,17.0,30.0,1.0
5,16.0,5.0,45.0,14.0,45.0,11.0,13.0,0.0,19.0,6.0,0.0,21.0,31.0,3.0,18.0,7.0,19.0,2.0,0.0,10.0,10.0,15.0,18.0,14.0,21.0,8.0,35.0,21.0,21.0,1.0,20.0,20.0,12.0,12.0,6.0,15.0,53.0,11.0,21.0,18.0,20.0,34.0,13.0,37.0,23.0,9.0,18.0,31.0,11.0,22.0,45.0,32.0,22.0,31.0,12.0,11.0,8.0,32.0,27.0,35.0,15.0,23.0,3.0,25.0,48.0,0.0,1.0,36.0,15.0,1.0,1.0,29.0,13.0,2.0,39.0,53.0,5.0,0.0,20.0,9.0,8.0,33.0,39.0,20.0,43.0,9.0,30.0,2.0,10.0,42.0,19.0,37.0,14.0,10.0,49.0,16.0,8.0,24.0,11.0,12.0,23.0,4.0,46.0,51.0,16.0,36.0,23.0,12.0,22.0,7.0,18.0,6.0,31.0,14.0,5.0,29.0,33.0,1.0,14.0,1.0,25.0,1.0,32.0,0.0,11.0,8.0,18.0,0.0,20.0,37.0,26.0,35.0,40.0,18.0,13.0,15.0,10.0,32.0,2.0,0.0,31.0,37.0,6.0,11.0,27.0,47.0,22.0,6.0,18.0,2.0,14.0,31.0,19.0,5.0,11.0,28.0,8.0,31.0,26.0,23.0,33.0,22.0,16.0,47.0,16.0,24.0,30.0,23.0,21.0,10.0,18.0,14.0,11.0,0.0,29.0,33.0,33.0,17.0,41.0,18.0,14.0,24.0,15.0,39.0,7.0,15.0,24.0,24.0,35.0,31.0,33.0,11.0,2.0,26.0,24.0,1.0,14.0,12.0,34.0,11.0,22.0,2.0,44.0,0.0,4.0,36.0,26.0,5.0,5.0,17.0,23.0,13.0,0.0,21.0,18.0,0.0,19.0,3.0,18.0,18.0,20.0,20.0,27.0,16.0,27.0,41.0,38.0,10.0,31.0,8.0,27.0,37.0,4.0,29.0,1.0,36.0,57.0,26.0,4.0,9.0,24.0,38.0,14.0,11.0,24.0,11.0,24.0,19.0,0.0,20.0,19.0,33.0,22.0,3.0,15.0,25.0,20.0,8.0,23.0,12.0
6,20.0,13.0,57.0,14.0,42.0,13.0,24.0,2.0,27.0,6.0,3.0,15.0,25.0,3.0,28.0,6.0,19.0,0.0,2.0,9.0,15.0,0.0,15.0,4.0,27.0,4.0,29.0,15.0,36.0,3.0,13.0,22.0,22.0,9.0,4.0,14.0,40.0,6.0,19.0,8.0,28.0,26.0,8.0,29.0,14.0,10.0,16.0,33.0,19.0,24.0,36.0,29.0,25.0,14.0,11.0,6.0,7.0,34.0,13.0,23.0,12.0,33.0,1.0,11.0,27.0,2.0,0.0,30.0,8.0,0.0,2.0,23.0,11.0,0.0,49.0,39.0,4.0,0.0,17.0,3.0,11.0,25.0,36.0,31.0,30.0,6.0,30.0,2.0,11.0,23.0,25.0,24.0,14.0,0.0,48.0,21.0,11.0,31.0,23.0,12.0,32.0,2.0,36.0,47.0,21.0,32.0,18.0,19.0,16.0,8.0,18.0,8.0,23.0,5.0,9.0,19.0,29.0,2.0,17.0,1.0,30.0,7.0,21.0,0.0,14.0,9.0,17.0,10.0,14.0,12.0,23.0,42.0,33.0,10.0,9.0,20.0,4.0,18.0,12.0,0.0,37.0,41.0,4.0,6.0,17.0,30.0,12.0,5.0,16.0,3.0,5.0,17.0,28.0,9.0,12.0,30.0,11.0,25.0,19.0,17.0,25.0,28.0,17.0,49.0,13.0,23.0,24.0,14.0,20.0,3.0,17.0,16.0,8.0,0.0,19.0,37.0,27.0,19.0,29.0,17.0,11.0,16.0,14.0,14.0,16.0,4.0,22.0,31.0,29.0,31.0,31.0,5.0,1.0,19.0,32.0,1.0,11.0,15.0,33.0,7.0,17.0,5.0,31.0,0.0,8.0,13.0,18.0,12.0,22.0,15.0,19.0,10.0,1.0,23.0,18.0,1.0,21.0,5.0,34.0,22.0,11.0,15.0,24.0,21.0,27.0,16.0,29.0,16.0,23.0,16.0,17.0,34.0,3.0,27.0,3.0,30.0,43.0,22.0,2.0,0.0,34.0,20.0,17.0,11.0,15.0,14.0,26.0,12.0,4.0,18.0,36.0,21.0,18.0,6.0,10.0,20.0,16.0,17.0,27.0,8.0
7,31.0,21.0,52.0,34.0,60.0,28.0,44.0,0.0,28.0,10.0,7.0,21.0,37.0,16.0,31.0,7.0,24.0,2.0,4.0,29.0,19.0,19.0,28.0,9.0,19.0,10.0,74.0,42.0,49.0,21.0,41.0,32.0,31.0,29.0,10.0,24.0,51.0,26.0,46.0,20.0,62.0,49.0,32.0,58.0,22.0,14.0,21.0,51.0,34.0,33.0,60.0,57.0,30.0,37.0,28.0,20.0,27.0,53.0,54.0,46.0,34.0,35.0,6.0,48.0,69.0,8.0,1.0,39.0,21.0,0.0,3.0,38.0,15.0,5.0,74.0,56.0,22.0,2.0,38.0,17.0,21.0,50.0,50.0,38.0,58.0,17.0,49.0,1.0,17.0,34.0,31.0,42.0,29.0,24.0,68.0,49.0,11.0,40.0,31.0,21.0,57.0,13.0,54.0,52.0,38.0,46.0,36.0,28.0,34.0,19.0,35.0,19.0,45.0,14.0,15.0,46.0,36.0,3.0,30.0,11.0,23.0,15.0,32.0,0.0,17.0,47.0,31.0,34.0,26.0,33.0,49.0,56.0,58.0,19.0,16.0,32.0,22.0,43.0,22.0,4.0,45.0,56.0,19.0,24.0,41.0,35.0,40.0,3.0,40.0,2.0,21.0,52.0,33.0,14.0,20.0,39.0,14.0,22.0,32.0,28.0,33.0,45.0,51.0,104.0,17.0,28.0,58.0,27.0,42.0,17.0,20.0,28.0,44.0,18.0,21.0,47.0,45.0,33.0,56.0,28.0,30.0,20.0,33.0,34.0,16.0,22.0,43.0,39.0,53.0,50.0,31.0,5.0,5.0,34.0,60.0,2.0,32.0,17.0,34.0,20.0,40.0,18.0,57.0,2.0,15.0,44.0,25.0,27.0,19.0,26.0,43.0,17.0,1.0,51.0,41.0,2.0,34.0,3.0,45.0,67.0,32.0,35.0,40.0,39.0,35.0,44.0,63.0,17.0,34.0,34.0,31.0,55.0,3.0,43.0,3.0,51.0,62.0,48.0,13.0,19.0,42.0,29.0,24.0,26.0,34.0,32.0,33.0,18.0,31.0,29.0,43.0,44.0,29.0,3.0,24.0,42.0,17.0,24.0,29.0,6.0
8,35.0,32.0,63.0,32.0,49.0,32.0,54.0,0.0,28.0,25.0,11.0,25.0,50.0,19.0,37.0,10.0,43.0,5.0,13.0,19.0,26.0,24.0,30.0,13.0,42.0,12.0,86.0,66.0,40.0,7.0,29.0,21.0,37.0,59.0,14.0,14.0,47.0,29.0,53.0,26.0,59.0,63.0,22.0,54.0,23.0,17.0,31.0,44.0,42.0,45.0,66.0,50.0,30.0,53.0,38.0,36.0,14.0,50.0,44.0,65.0,18.0,50.0,1.0,47.0,68.0,8.0,2.0,52.0,26.0,2.0,0.0,35.0,15.0,7.0,63.0,62.0,21.0,1.0,33.0,12.0,8.0,57.0,55.0,42.0,50.0,17.0,47.0,3.0,16.0,59.0,33.0,43.0,23.0,16.0,65.0,50.0,12.0,45.0,30.0,15.0,48.0,14.0,53.0,52.0,36.0,50.0,41.0,29.0,40.0,53.0,42.0,17.0,47.0,23.0,8.0,54.0,43.0,12.0,15.0,15.0,39.0,29.0,41.0,0.0,22.0,47.0,38.0,27.0,25.0,30.0,71.0,67.0,55.0,18.0,12.0,35.0,19.0,58.0,30.0,4.0,40.0,62.0,26.0,14.0,25.0,48.0,36.0,10.0,35.0,10.0,29.0,61.0,39.0,22.0,16.0,45.0,18.0,37.0,52.0,42.0,27.0,53.0,70.0,96.0,18.0,40.0,58.0,41.0,32.0,20.0,25.0,46.0,30.0,4.0,19.0,35.0,48.0,20.0,44.0,29.0,31.0,34.0,41.0,33.0,22.0,26.0,48.0,40.0,56.0,52.0,27.0,4.0,8.0,34.0,51.0,7.0,32.0,24.0,52.0,24.0,31.0,20.0,50.0,4.0,13.0,34.0,31.0,34.0,20.0,41.0,24.0,26.0,0.0,39.0,25.0,4.0,25.0,4.0,35.0,77.0,26.0,27.0,51.0,56.0,24.0,36.0,59.0,37.0,30.0,42.0,33.0,44.0,20.0,38.0,3.0,42.0,71.0,34.0,11.0,30.0,47.0,37.0,37.0,44.0,40.0,35.0,42.0,31.0,26.0,33.0,61.0,54.0,40.0,24.0,28.0,43.0,14.0,26.0,45.0,4.0
9,40.0,21.0,58.0,36.0,56.0,20.0,55.0,2.0,39.0,19.0,4.0,25.0,51.0,20.0,47.0,7.0,41.0,2.0,5.0,39.0,19.0,26.0,36.0,9.0,49.0,12.0,59.0,49.0,44.0,4.0,36.0,35.0,35.0,36.0,13.0,24.0,50.0,41.0,46.0,25.0,61.0,59.0,31.0,52.0,31.0,29.0,28.0,37.0,37.0,39.0,69.0,60.0,32.0,38.0,26.0,24.0,20.0,56.0,46.0,80.0,28.0,45.0,14.0,30.0,55.0,5.0,1.0,50.0,26.0,2.0,9.0,29.0,16.0,7.0,67.0,74.0,15.0,0.0,31.0,16.0,3.0,46.0,49.0,58.0,53.0,22.0,57.0,6.0,17.0,51.0,32.0,60.0,24.0,27.0,90.0,39.0,13.0,41.0,28.0,13.0,58.0,11.0,57.0,59.0,37.0,49.0,37.0,20.0,35.0,21.0,39.0,22.0,38.0,26.0,15.0,61.0,49.0,1.0,17.0,8.0,50.0,28.0,50.0,1.0,21.0,57.0,26.0,56.0,23.0,35.0,48.0,55.0,59.0,14.0,12.0,40.0,17.0,47.0,36.0,6.0,47.0,58.0,17.0,20.0,53.0,51.0,38.0,7.0,37.0,14.0,17.0,62.0,49.0,21.0,29.0,59.0,18.0,26.0,37.0,38.0,27.0,59.0,58.0,67.0,26.0,42.0,58.0,32.0,30.0,18.0,38.0,37.0,30.0,9.0,23.0,53.0,42.0,29.0,48.0,23.0,19.0,26.0,32.0,47.0,23.0,29.0,54.0,38.0,57.0,49.0,34.0,8.0,9.0,35.0,75.0,1.0,41.0,25.0,66.0,26.0,33.0,19.0,43.0,0.0,22.0,35.0,32.0,52.0,22.0,31.0,23.0,27.0,0.0,59.0,22.0,2.0,41.0,9.0,50.0,67.0,22.0,26.0,41.0,62.0,29.0,52.0,59.0,33.0,57.0,34.0,48.0,59.0,9.0,37.0,7.0,52.0,74.0,44.0,10.0,29.0,37.0,51.0,37.0,23.0,38.0,44.0,39.0,46.0,32.0,52.0,57.0,60.0,40.0,21.0,39.0,45.0,20.0,25.0,52.0,15.0
