0,1,2
0.0,37.41859,-5.97325
1.0,37.35816,-5.98648
2.0,37.38951,-5.98436
3.0,37.4086,-5.97316
4.0,37.38152,-5.989
5.0,37.38354,-5.99991
6.0,37.36362,-5.98479
7.0,37.3861,-5.91009
8.0,37.3871,-5.97484
9.0,37.41147,-5.96676
10.0,37.40286,-5.92175
11.0,37.38432,-5.98248
12.0,37.40693,-5.98262
13.0,37.37153,-6.0028
14.0,37.39759,-5.98387
15.0,37.34532,-5.98266
16.0,37.40249,-5.97768
17.0,37.38566,-5.91345
18.0,37.40561,-5.93052
19.0,37.37574,-5.99926
20.0,37.40286,-6.00411
21.0,37.3774,-5.99197
22.0,37.40146,-5.98369
23.0,37.41891,-5.96322
24.0,37.38963,-6.00758
25.0,37.42476,-5.98482
26.0,37.38897,-5.99529
27.0,37.37232,-5.96317
28.0,37.4005,-5.9984
29.0,37.40499,-5.93581
30.0,37.40547,-5.98153
31.0,37.39484,-5.96843
32.0,37.40404,-5.98459
33.0,37.39208,-6.01105
34.0,37.39609,-5.95876
35.0,37.42163,-5.9715
36.0,37.40387,-5.9949
37.0,37.38882,-5.99586
38.0,37.39396,-5.9969
39.0,37.35066,-5.98419
40.0,37.37506,-5.96749
41.0,37.3765,-5.97267
42.0,37.40296,-5.95821
43.0,37.39363,-5.98187
44.0,37.39281,-5.99934
45.0,37.3462,-5.9762
46.0,37.39958,-5.99103
47.0,37.37741,-5.9749
48.0,37.39429,-5.99165
49.0,37.3986,-5.97363
50.0,37.37979,-5.99711
51.0,37.37836,-5.9794
52.0,37.37807,-6.01194
53.0,37.38112,-5.98695
54.0,37.40416,-6.0073
55.0,37.37614,-5.95502
56.0,37.35502,-5.98237
57.0,37.38274,-5.98372
58.0,37.36956,-5.96864
59.0,37.40647,-5.98912
60.0,37.36615,-5.97487
61.0,37.37124,-5.98921
62.0,37.40394,-5.93974
63.0,37.37335,-5.96493
64.0,37.38716,-5.97102
65.0,37.39994,-5.92516
66.0,37.32033,-5.9692
67.0,37.38986,-5.99113
68.0,37.38833,-5.9869
69.0,37.41174,-5.92986
70.0,37.39075,-5.91964
71.0,37.3812,-5.99353
72.0,37.38709,-5.94832
73.0,37.39701,-5.92376
74.0,37.37781,-6.00261
75.0,37.38718,-6.00138
76.0,37.41585,-6.00547
77.0,37.3837,-5.91482
78.0,37.37165,-5.99775
79.0,37.37796,-5.95197
80.0,37.36874,-5.95729
81.0,37.37823,-5.97936
82.0,37.39552,-6.00232
83.0,37.38435,-5.96538
84.0,37.37173,-5.9819
